"","precip","solar","air","vapor",""
"37"," 1.1","219.3"," 16.2","13.8","0"
"38"," 8.6","196.6"," 15.6","14.8","0"
"39"," 0.1","297.4"," 13.0"," 8.3","0.05803125"
"40"," 0.0","331.4"," 15.8"," 9.4","0.175725"
"41"," 1.5","155.8"," 14.0","11.5","0.1591"
"42","14.2"," 31.9"," 13.1","14.9","0.1936625"
"43"," 0.6","251.9"," 16.4","13.8","0.09349375"
"44"," 0.0","325.8"," 20.4","11.6","0"
"45"," 0.1","230.5"," 20.5","14.3","0"
"46"," 5.2"," 63.6"," 17.4","17.4","0.0164082083333333"
"47"," 6.1","146.6"," 13.1","12.5","0.046329125"
"48"," 7.7"," 56.3","  9.5","11.2","0.0560376458333333"
"49"," 2.8","156.3"," 10.4","10.7","0.0631244166666667"
"50"," 2.5","111.9"," 13.1","13.1","0.059625"
"51"," 5.5","175.4"," 14.8","15.2","0.0596269375"
"52"," 0.7","233.8"," 17.0","13.5","0.0579329166666667"
"53"," 2.9","250.0"," 17.8","14.7","0.166166666666667"
"54"," 6.9","193.2"," 16.9","17.7","0.161354166666667"
"55"," 0.5","286.4"," 18.4","15.4","0.156666666666667"
"56","13.1","109.4"," 17.4","19.5","0.164052083333333"
"57","16.1"," 61.0"," 12.9","13.7","0.0441770833333333"
"58"," 0.8","153.2"," 11.2","10.1","0"
"59","0.2","199.9","14.2","12.4","0.147677083333333"
"60","3.4","210.1","14.9","15.3","0.17853125"
"61","0.3","226.9","17.4","15.3","0.170958333333333"
"62"," 4.2","237.6"," 19.5","19.4","0.163416666666667"
"63"," 0.1","300.2"," 20.3","17.0","0.156927083333333"
"64"," 2.5","238.3"," 20.3","18.7","0.150322916666667"
"65","17.4"," 35.3"," 18.7","20.8","0.144572916666667"
"66","13.6","155.3"," 19.4","20.2","0.15015625"
"67","12.4"," 24.1"," 14.7","15.7","0.1554375"
"68"," 6.5"," 69.3"," 16.7","18.9","0.182854166666667"
"69"," 7.9","135.6"," 17.6","19.9","0.1848125"
"70"," 7.5","169.3"," 18.7","19.8","0.183614583333333"
"71"," 1.1","191.6"," 19.7","18.8","0.174770833333333"
"72"," 0.4","257.9"," 17.9","13.3","0.178322916666667"
"73"," 0.0","298.7"," 16.3","11.0","0.173239583333333"
"74"," 0.0","273.8"," 19.2","12.7","0.16521875"
"75"," 0.0","283.6"," 18.4","13.9","0.158635416666667"
"76"," 0.9","222.1"," 21.3","17.5","0.152166666666667"
"77"," 9.4","175.7"," 17.2","15.4","0.146979166666667"
"78"," 0.0","286.5"," 14.5"," 9.4","0.142322916666667"
"79"," 0.0","282.0"," 16.5","10.6","0.136802083333333"
"80"," 0.6","202.6"," 19.9","14.1","0.15415625"
"81"," 0.1","223.3"," 19.2","16.9","0.1661875"
"82"," 6.4","224.9"," 22.0","20.5","0.165489583333333"
"83","17.6","129.7"," 12.0","12.9","0.169145833333333"
"84"," 2.9"," 86.4","  7.6"," 6.9","0.178614583333333"
"85"," 0.0","273.6","  9.0"," 6.4","0.1814375"
"86"," 0.4"," 84.2"," 11.9","11.3","0.174666666666667"
"87"," 1.2","105.5"," 12.7","13.3","0.172291666666667"
"88","16.7"," 56.9","  9.3","11.2","0.217354166666667"
"89"," 0.4","244.0","  8.0"," 6.9","0.207385416666667"
"90","20.3","13.0","10.1","12.2","0.213114583333333"
"91","0.8","164.3","9.1","8.0","0.21315625"
"92","0.4","190.7","12.7","9.8","0.203010416666667"
"93"," 8.2","233.8","  8.7"," 7.9","0.222510416666667"
"94"," 0.0","232.7","  9.0"," 7.8","0.205270833333333"
"95"," 0.8","115.5"," 12.3","11.3","0.196447916666667"
"96","12.4"," 96.4"," 13.1","14.9","0.2273125"
"97"," 1.0","195.1"," 11.7","10.4","0.211166666666667"
"98"," 2.4","139.8"," 11.9","12.1","0.200489583333333"
"99"," 0.3","167.2","  9.7"," 8.7","0.193197916666667"
"100"," 0.1","192.6","  7.6"," 7.3","0.187020833333333"
"101"," 0.0","233.1","  8.2"," 6.9","0.181302083333333"
"102"," 1.4","157.9"," 15.5","15.6","0.17553125"
"103"," 0.0","213.5"," 16.7","16.3","0.170083333333333"
"104"," 0.0","215.2"," 18.9","17.1","0.164885416666667"
"105"," 0.0","214.0"," 18.4","14.8","0.159875"
"106"," 0.2","155.1"," 18.6","17.7","0.15509375"
"107"," 3.8"," 85.5"," 19.5","21.6","0.15190625"
"108"," 8.2","106.0"," 15.2","15.2","0.166229166666667"
"109"," 1.0","145.1"," 12.4","11.2","0.1766875"
"110"," 0.0","201.7"," 15.1","12.8","0.171770833333333"
"111"," 0.0","151.1"," 16.4","12.3","0.166354166666667"
"112"," 8.0"," 65.1"," 13.2","13.4","0.166739583333333"
"113"," 0.1","145.6","  8.6"," 8.1","0.168885416666667"
"114"," 0.0","155.6"," 10.9"," 9.4","0.16646875"
"115","10.9"," 35.2"," 13.2","14.8","0.163479166666667"
"116"," 4.9"," 89.0"," 11.7","11.1","0.162645833333333"
"117","14.3"," 90.7","  9.4","10.0","0.179197916666667"
"118"," 0.1","119.9","  7.8"," 6.6","0.193635416666667"
"119"," 8.8"," 34.2"," 12.2","12.9","0.191166666666667"
"120","38.8"," 20.3","  8.5","11.0","0.2279375"
"121","3.2","29.6","6.4","9.5","0.226416666666667"
"122","2.9","101.3","4.6","7.2","0.216864583333333"
"123"," 7.3"," 97.3","  1.6"," 6.5","0.222458333333333"
"124"," 0.6","119.0","  1.2"," 5.2","0.212916666666667"
"125"," 0.4","108.3","  1.9"," 5.4","0.20559375"
"126","10.6","  9.5","  3.8"," 7.8","0.20709375"
"127"," 4.2"," 80.4","  2.5"," 7.2","0.229645833333333"
"128"," 3.6"," 66.4","  1.2"," 5.6","0.2275"
"129"," 2.8"," 26.4","  3.1"," 6.7","0.220729166666667"
"130"," 1.4"," 21.9","  4.7"," 8.2","0.219739583333333"
"131"," 0.0","155.2","  1.2"," 5.5","0.212604166666667"
"132"," 0.0","144.2"," 12.1","12.2","0.206208333333333"
"133"," 0.0","146.8"," 13.5","13.7","0.2"
"134"," 1.1","130.2"," 12.1","12.1","0.194760416666667"
"135"," 0.5"," 88.2","  7.8"," 7.1","0.190260416666667"
"136"," 2.8"," 41.8","  6.4"," 9.1","0.187229166666667"
"137","47.4","  3.8","  5.2"," 8.6","0.226"
"138"," 9.9"," 60.1"," -0.1"," 5.3","0.240479166666667"
"139"," 1.1"," 53.9","  0.2"," 4.9","0.23075"
"140"," 0.3"," 93.5"," -1.6"," 3.7","0.226395833333333"
"141"," 0.1","115.6"," -2.7"," 3.3","0.218208333333333"
"142"," 0.5","107.7"," -2.6"," 3.3","0.212645833333333"
"143"," 0.0","128.9"," -2.9"," 2.9","0.208052083333333"
"144"," 0.4"," 83.6"," -2.5"," 3.5","0.203822916666667"
"145"," 0.4"," 82.6"," -1.5"," 3.7","0.19971875"
"146"," 1.3"," 90.4"," -1.4"," 4.0","0.19675"
"147"," 5.9"," 21.7","  1.7"," 5.9","0.19625"
"148"," 5.4"," 17.1","  2.7"," 7.4","0.214239583333333"
"149"," 1.7"," 46.3","  0.5"," 6.1","0.2190625"
"150"," 0.8"," 81.5"," -1.9"," 4.4","0.216"
"151","10.0","13.9","1.0","6.4","0.2130625"
"152","5.0","34.6","-0.5","5.4","0.229510416666667"
"153","5.0","6.2","-0.1","5.5","0.223677083333333"
"154"," 4.3"," 37.6","  0.3"," 6.0","0.225322916666667"
"155"," 0.0"," 74.2"," -3.3"," 3.0","0.22503125"
"156"," 0.4"," 47.7"," -3.2"," 3.2","0.217697916666667"
"157"," 0.0"," 63.7"," -4.7"," 2.3","0.2123125"
"158","10.2","  5.8"," -1.9"," 5.1","0.208177083333333"
"159"," 0.8"," 54.8"," -3.7"," 3.8","0.20496875"
"160"," 3.1"," 58.7"," -3.5"," 3.7","0.2018125"
"161"," 0.7"," 77.2"," -9.0"," 1.9","0.1985625"
"162"," 0.4"," 37.8"," -6.7"," 2.4","0.195802083333333"
"163"," 2.3"," 55.0"," -1.9"," 4.7","0.193208333333333"
"164"," 3.2"," 21.1"," -0.2"," 5.4","0.190947916666667"
"165"," 2.2"," 24.5","  0.2"," 5.9","0.190166666666667"
"166","13.7","  6.0"," -1.9"," 4.8","0.192822916666667"
"167"," 5.4"," 17.2"," -6.2"," 2.9","0.191322916666667"
"168"," 0.4"," 62.2"," -6.2"," 3.0","0.1903125"
"169"," 0.0"," 80.3"," -9.1"," 2.6","0.188947916666667"
"170"," 0.2"," 39.5"," -2.0"," 5.1","0.1875"
"171"," 0.1"," 48.4","  0.1"," 5.1","0.185947916666667"
"172","22.1","  2.2","  5.5"," 8.9","0.21440625"
"173"," 9.3"," 42.6"," -0.7"," 5.6","0.23578125"
"174"," 0.2"," 27.4","  0.1"," 5.0","0.224875"
"175"," 0.0"," 69.4"," -5.5"," 2.7","0.219708333333333"
"176"," 1.4"," 12.7"," -0.7"," 3.9","0.214114583333333"
"177"," 1.4"," 30.5","  5.5"," 7.9","0.217354166666667"
"178"," 4.7"," 44.4"," -4.4"," 3.0","0.233020833333333"
"179"," 0.1"," 43.4"," -1.2"," 3.9","0.222552083333333"
"180"," 0.5"," 51.4"," -3.1"," 3.9","0.216510416666667"
"181"," 1.2"," 26.1"," -2.5"," 4.5","0.211739583333333"
"182","21.7","4.4","-5.8","3.3","0.207447916666667"
"183","1.0","24.0","-5.5","3.2","0.20475"
"184"," 1.6"," 19.5"," -7.9"," 2.5","0.2019375"
"185"," 0.2"," 42.3","-12.3"," 1.5","0.199302083333333"
"186"," 0.5"," 40.6"," -9.5"," 2.1","0.196864583333333"
"187"," 0.2"," 54.2","-13.5"," 1.5","0.194510416666667"
"188"," 0.0"," 62.7","-16.8"," 1.2","0.192145833333333"
"189"," 0.0"," 53.8","-16.1"," 1.1","0.189947916666667"
"190"," 0.0"," 61.8","-11.7"," 1.1","0.18790625"
"191"," 0.0"," 59.4","-13.7"," 1.3","0.185916666666667"
"192"," 0.0"," 51.2","-10.8"," 2.0","0.1840625"
"193"," 5.0"," 22.8"," -8.9"," 2.7","0.18221875"
"194","16.8","  1.5","  1.7"," 6.5","0.183302083333333"
"195"," 5.2"," 28.3","-13.1"," 1.8","0.199239583333333"
"196"," 0.2"," 56.7","-19.9"," 1.0","0.197322916666667"
"197"," 0.0"," 55.3","-14.0"," 1.5","0.194677083333333"
"198"," 3.3","  9.0"," -9.8"," 2.5","0.191958333333333"
"199"," 0.4"," 31.0"," -9.4"," 2.4","0.189375"
"200"," 8.4","  7.4","  0.3"," 5.9","0.187166666666667"
"201","12.4","  4.0"," -5.9"," 3.3","0.185104166666667"
"202"," 1.3"," 32.4","-10.6"," 2.1","0.183270833333333"
"203"," 0.3"," 38.9","-16.4"," 1.4","0.181364583333333"
"204"," 1.2"," 40.9","-16.6"," 1.5","0.179458333333333"
"205"," 3.2","  6.2"," -9.1"," 3.1","0.177770833333333"
"206"," 1.6"," 12.9"," -3.3"," 4.6","0.176041666666667"
"207"," 4.0","  3.5"," -2.1"," 4.9","0.174395833333333"
"208"," 4.1","  4.3"," -0.4"," 5.6","0.172739583333333"
"209"," 0.7"," 40.8"," -5.0"," 3.5","0.171145833333333"
"210"," 0.0"," 54.5","-11.0"," 2.3","0.169583333333333"
"211"," 0.0"," 38.7"," -1.4"," 3.5","0.168020833333333"
"212","0.5","17.4","2.3","6.3","0.166666666666667"
"213","8.8","3.0","-4.4","4.1","0.165791666666667"
"214","1.7","38.6","-13.5","1.8","0.164510416666667"
"215"," 0.5"," 47.0","-15.7"," 1.5","0.163447916666667"
"216"," 0.4"," 24.2","-15.3"," 1.5","0.1625"
"217"," 4.2","  8.2"," -5.2"," 3.8","0.161364583333333"
"218"," 0.9"," 39.5","-11.4"," 2.2","0.160427083333333"
"219"," 0.2"," 43.0","-20.9"," 0.9","0.159572916666667"
"220"," 2.8"," 14.3","-19.8"," 1.0","0.158458333333333"
"221"," 0.2"," 49.7","-27.1"," 0.5","0.15753125"
"222"," 0.1"," 55.3","-30.6"," 0.4","0.156697916666667"
"223"," 0.0"," 63.3","-28.4"," 0.5","0.15546875"
"224"," 0.0"," 68.1","-29.9"," 0.4","0.15421875"
"225"," 0.5"," 39.4","-25.7"," 0.6","0.152760416666667"
"226"," 0.0"," 63.9","-28.2"," 0.5","0.1509375"
"227"," 1.4"," 47.8","-26.6"," 0.5","0.148541666666667"
"228"," 0.0"," 70.5","-32.0"," 0.3","0.145875"
"229"," 1.1"," 30.1","-30.5"," 0.4","0.142708333333333"
"230"," 1.6"," 36.3","-13.3"," 1.6","0.138375"
"231"," 0.2"," 60.2","-16.2"," 1.4","0.1323125"
"232"," 2.4"," 23.1","-14.0"," 1.7","0.12321875"
"233"," 2.2"," 27.0"," -9.3"," 2.4","0.115020833333333"
"234"," 0.4"," 41.5","-15.6"," 1.4","0.107989583333333"
"235"," 0.1"," 76.9","-20.3"," 1.0","0.102510416666667"
"236"," 2.0"," 23.9","-15.1"," 1.5","0.0977604166666667"
"237"," 1.2"," 52.4","-22.7"," 0.7","0.093125"
"238"," 0.1"," 76.7","-30.0"," 0.4","0.088625"
"239"," 0.1"," 81.6","-30.2"," 0.4","0.0833020833333333"
"240"," 0.0"," 89.3","-32.0"," 0.3","0.0773854166666667"
"241"," 0.0"," 81.9","-26.0"," 0.5","0.0703020833333333"
"242"," 0.2"," 53.4","-18.8"," 1.1","0.0638229166666667"
"243","1.3","41.1","-16.5","1.3","0.0576145833333333"
"244","3.5","27.0","-14.1","1.6","0.05334375"
"245","1.7","66.6","-9.8","2.4","0.05134375"
"246"," 0.7"," 59.1"," -5.6"," 3.5","0.0504583333333333"
"247"," 0.1"," 75.8"," -9.9"," 2.6","0.0500729166666667"
"248"," 0.1"," 74.0"," -6.1"," 2.8","0.0505416666666667"
"249"," 6.6"," 32.3","-10.5"," 2.7","0.051"
"250"," 0.3"," 91.1","-15.2"," 1.4","0.0515729166666667"
"251"," 0.5"," 52.3","-17.4"," 1.2","0.0523229166666667"
"252"," 3.1"," 36.6","-15.7"," 1.4","0.0525"
"253"," 0.3","101.5","-18.5"," 1.2","0.05228125"
"254"," 2.5"," 34.8"," -6.2"," 3.3","0.05165625"
"255"," 2.7"," 48.8"," -6.4"," 3.3","0.05115625"
"256"," 0.4"," 86.5","-15.8"," 1.4","0.0510208333333333"
"257"," 0.5"," 85.1","-16.4"," 1.1","0.05146875"
"258"," 4.5"," 35.3"," -9.9"," 2.3","0.0515"
"259"," 0.9","120.7","-27.4"," 0.5","0.0515"
"260"," 0.1","109.0","-26.5"," 0.5","0.0515"
"261"," 0.1","129.9","-26.1"," 0.5","0.0515"
"262"," 0.2"," 69.3","-15.8"," 1.2","0.0508541666666667"
"263"," 0.4"," 95.1","-10.0"," 2.2","0.0498541666666667"
"264"," 0.2"," 99.5"," -9.3"," 2.6","0.0492291666666667"
"265"," 0.1","129.8","-11.6"," 2.0","0.04878125"
"266"," 3.4"," 19.0"," -7.3"," 2.8","0.0485"
"267"," 5.1"," 35.9"," -9.3"," 2.6","0.0485"
"268"," 0.1","141.1","-16.6"," 1.3","0.0485"
"269"," 0.0","147.9","-16.4"," 1.3","0.0485"
"270"," 0.0","133.1","-13.2"," 1.6","0.0485"
"271"," 0.0","152.5","-17.6"," 1.1","0.0485"
"272"," 0.0","144.3","-14.5"," 1.3","0.0484895833333333"
"273"," 0.2","107.2"," -6.5"," 2.8","0.048"
"274","1.9","28.8","-4.9","4.1","0.04759375"
"275"," 0.3"," 92.1"," -2.5"," 4.5","0.0478958333333333"
"276"," 6.9"," 23.8","  1.6"," 6.5","0.048"
"277"," 0.5","146.9"," -8.1"," 2.4","0.0489791666666667"
"278"," 1.9","102.1"," -7.5"," 2.6","0.0511041666666667"
"279"," 3.5"," 85.4","-12.9"," 1.9","0.0527916666666667"
"280"," 5.1"," 44.5"," -7.3"," 2.7","0.0536458333333333"
"281"," 0.0","178.0","-13.2"," 1.8","0.0538229166666667"
"282"," 0.0","177.6","-14.2"," 1.7","0.0530104166666667"
"283"," 0.0","175.3","-11.2"," 2.0","0.053"
"284"," 0.0","165.7"," -4.2"," 2.6","0.05253125"
"285"," 0.0","131.2"," -2.0"," 3.9","0.052"
"286"," 0.2","101.7"," -8.3"," 2.8","0.0515729166666667"
"287"," 0.8","178.4","-14.9"," 1.2","0.0515416666666667"
"288"," 0.7"," 81.3","-12.1"," 1.6","0.05246875"
"289"," 5.0"," 88.0"," -7.7"," 3.0","0.0523125"
"290"," 0.0","209.5","-19.4"," 0.8","0.05159375"
"291"," 0.0","211.6","-16.6"," 1.0","0.0515"
"292"," 0.0","213.4","-14.3"," 1.3","0.0511875"
"293"," 0.0","201.7"," -9.8"," 2.1","0.050625"
"294"," 8.4"," 37.0"," -3.1"," 4.0","0.0498958333333333"
"295"," 3.2"," 93.7"," -9.3"," 2.7","0.0495"
"296"," 0.2","202.1","-20.0"," 0.8","0.0495"
"297"," 1.1","147.1","-13.3"," 1.7","0.0495"
"298"," 0.0","224.4"," -9.2"," 1.9","0.0495"
"299"," 4.4"," 29.7","  1.2"," 6.0","0.0495"
"300","13.2","  8.9","  2.7"," 7.0","0.0531145833333333"
"301"," 0.1","236.2"," -4.3"," 2.7","0.0735729166666667"
"302"," 0.0","235.4"," -0.4"," 3.3","0.0767604166666667"
"303","-0.0","222.0","4.4","4.3","0.0908541666666667"
"304","0.6","74.6","2.1","6.8","0.119427083333333"
"305","0.5","178.7","-3.6","2.9","0.12890625"
"306"," 0.0","252.4"," -3.2"," 3.3","0.129739583333333"
"307"," 0.0","237.3","  0.3"," 4.8","0.133291666666667"
"308"," 2.1","122.4","  0.1"," 5.5","0.14825"
"309"," 3.7"," 94.7"," -7.2"," 2.4","0.164927083333333"
"310"," 0.2","213.3"," -9.6"," 1.5","0.165229166666667"
"311"," 0.0","251.3"," -5.9"," 2.5","0.1630625"
"312"," 0.0","218.4"," -2.7"," 2.7","0.16134375"
"313"," 0.2","164.4"," -4.5"," 2.6","0.160375"
"314"," 2.6","103.0"," -6.9"," 2.4","0.159864583333333"
"315"," 0.9","151.3"," -4.1"," 2.9","0.1595"
"316"," 0.7","193.7"," -2.4"," 3.3","0.159572916666667"
"317"," 0.1","252.8"," -1.7"," 2.7","0.159520833333333"
"318"," 0.8","156.1"," -1.3"," 4.1","0.159802083333333"
"319"," 0.4","257.8"," -1.6"," 3.7","0.160125"
"320"," 0.0","288.5"," -4.5"," 2.2","0.160125"
"321"," 0.0","268.1","  3.0"," 2.6","0.15990625"
"322"," 0.0","217.9","  4.3"," 5.4","0.177354166666667"
"323"," 0.0","276.3"," -0.1"," 3.3","0.205666666666667"
"324","43.8"," 22.3","  3.9"," 8.0","0.222510416666667"
"325"," 0.4","297.2"," -0.4"," 2.7","0.214958333333333"
"326","12.3","106.8","  4.8"," 6.6","0.209166666666667"
"327"," 7.5","162.3"," -1.4"," 3.6","0.228"
"328"," 0.0","299.4"," -1.5"," 1.8","0.212770833333333"
"329"," 1.2","301.9"," -6.1"," 1.5","0.21403125"
"330"," 0.0","247.9"," -1.9"," 1.7","0.20615625"
"331"," 5.8"," 64.9","  1.8"," 6.5","0.200864583333333"
"332"," 3.1","144.5","  0.6"," 4.9","0.203145833333333"
"333"," 0.0","321.9"," -3.1"," 2.3","0.209510416666667"
"334","9.3","189.7","5.6","7.6","0.23015625"
"335","0.7","118.3","0.3","4.8","0.236916666666667"
"336","14.9"," 17.5","  1.8"," 6.8","0.2395625"
"337","19.4"," 23.5"," -0.2"," 5.4","0.238833333333333"
"338"," 8.1"," 73.0"," -0.5"," 5.0","0.2305"
"339"," 0.0","292.5"," -0.5"," 3.7","0.219083333333333"
"340"," 0.0","294.8","  3.5"," 5.3","0.2216875"
"341"," 5.0"," 45.4","  4.7"," 7.9","0.237260416666667"
"342"," 1.5","296.0"," -2.7"," 2.6","0.237645833333333"
"343"," 0.0","270.6","  1.8"," 2.9","0.229333333333333"
"344"," 0.1","331.3","  2.2"," 2.9","0.245052083333333"
"345"," 7.2","168.0","  7.3"," 7.8","0.249416666666667"
"346"," 1.1","331.0","  3.3"," 4.3","0.255666666666667"
"347"," 0.0"," 79.6","  2.5"," 2.9","0.243083333333333"
"348"," 8.2"," 59.2","  3.8"," 7.4","0.237416666666667"
"349","19.5"," 36.3"," 11.4","13.4","0.264677083333333"
"350"," 6.6","229.9","  2.0"," 5.3","0.263364583333333"
"351"," 0.0","312.4","  4.9"," 4.5","0.24490625"
"352"," 0.1","179.7","  9.8"," 7.1","0.2463125"
"353","11.0","252.4","  9.1"," 7.7","0.25903125"
"354"," 0.0","337.6","  9.5"," 5.7","0.24571875"
"355"," 8.6","142.0"," 11.5","10.7","0.24321875"
"356"," 0.3","345.3","  3.1"," 3.5","0.238520833333333"
"357"," 0.0","333.2","  5.0"," 4.7","0.225572916666667"
"358"," 0.0","359.0","  4.1"," 4.1","0.225041666666667"
"359"," 0.0","257.4","  6.0"," 4.5","0.222260416666667"
"360"," 0.0","324.5","  9.9"," 6.9","0.219322916666667"
"361"," 6.1","102.3","  9.1","11.2","0.225020833333333"
"362"," 0.8","274.1"," 11.8"," 8.2","0.237447916666667"
"363"," 3.7","249.8","  5.4"," 5.8","0.21925"
"364","0.5","246.8","3.5","4.5","0.210864583333333"
"365","-0.0","362.2","6.1","4.8","0.203333333333333"
"366","-0.0","338.1","9.8","6.7","0.196385416666667"
"367"," 2.9","201.9","  9.3"," 9.5","0.189739583333333"
"368"," 2.0","163.1","  8.5"," 9.0","0.180541666666667"
"369"," 2.1","152.9","  7.6"," 9.1","0.174989583333333"
"370"," 0.0","360.9","  8.6"," 6.0","0.173875"
"371"," 0.0","320.3"," 14.5"," 7.2","0.16959375"
"372"," 3.2","167.5"," 13.8","11.9","0.163708333333333"
"373"," 5.6","251.9"," 11.6","10.8","0.184395833333333"
"374","10.1","106.4"," 18.4","18.9","0.206333333333333"
"375"," 3.6","272.2","  7.4"," 6.5","0.206229166666667"
"376"," 0.0","357.8","  5.9"," 4.7","0.194791666666667"
"377"," 0.0","353.9","  7.3"," 5.6","0.18640625"
"378"," 0.0","362.7"," 12.0"," 7.4","0.179458333333333"
"379"," 0.0","329.0"," 18.1","10.2","0.172708333333333"
"380","14.7"," 75.0"," 15.8","16.3","0.187875"
"381"," 6.9","179.2"," 11.9","11.6","0.208864583333333"
"382"," 0.5","290.9"," 10.5"," 8.2","0.200083333333333"
"383"," 0.6","266.4"," 14.1","11.2","0.190302083333333"
"384"," 0.0","229.7"," 14.8","10.8","0.1819375"
"385"," 4.2","135.6","  8.0"," 8.4","0.17525"
"386"," 1.4","206.7"," 10.4"," 9.0","0.171302083333333"
"387"," 5.2","132.5"," 12.7","13.2","0.170083333333333"
"388"," 8.2","168.9"," 13.1","14.4","0.1720625"
"389"," 3.1","228.3"," 14.4","11.5","0.19825"
"390","16.6","102.7"," 12.9","13.5","0.18890625"
"391"," 2.2","259.6"," 11.1"," 7.5","0.212072916666667"
"392"," 2.1","122.0"," 10.7"," 9.8","0.197510416666667"
"393"," 8.0","137.1","  9.0"," 9.1","0.195041666666667"
"394"," 1.5","246.6"," 11.1"," 9.9","0.200822916666667"
"395","10.2","160.1","12.3","13.2","0.193270833333333"
"396","0.8","228.9","14.0","11.4","0.19084375"
"397","13.3","131.5"," 13.5","14.8","0.191677083333333"
"398"," 6.2","153.4"," 14.8","14.5","0.215666666666667"
"399"," 0.0","331.2"," 17.2","10.8","0.2089375"
"400"," 0.0","262.7"," 20.0","13.3","0.19615625"
"401","22.9"," 35.9"," 15.8","15.9","0.219322916666667"
"402"," 0.0","339.9"," 14.5"," 9.4","0.212708333333333"
"403"," 2.1","218.6"," 15.4","13.5","0.199822916666667"
"404"," 2.7"," 76.5"," 14.6","13.7","0.19321875"
"405"," 4.7","104.3"," 14.8","14.9","0.199072916666667"
"406"," 0.0","201.7"," 16.8","13.7","0.199635416666667"
"407"," 0.0","287.4"," 18.9","13.4","0.191614583333333"
"408"," 5.2","160.8"," 18.0","16.4","0.173197916666667"
"409","10.2","158.3"," 17.9","19.6","0"
"410","14.5"," 99.1"," 17.3","19.5","0.08496875"
"411","10.9","110.0"," 16.9","18.4","0.213760416666667"
"412","11.4","140.6"," 17.3","18.2","0.21303125"
"413"," 0.1","296.1"," 16.3","10.9","0.204072916666667"
"414"," 0.0","340.5"," 17.3","10.8","0.193958333333333"
"415"," 0.0","282.5"," 20.0","13.7","0.1845"
"416"," 3.4","140.0"," 16.9","14.0","0.176895833333333"
"417"," 0.0","329.3"," 18.5","12.9","0.172510416666667"
"418","15.3","120.5"," 18.7","18.5","0.1714375"
"419"," 0.1","314.4"," 10.0"," 6.5","0.20959375"
"420"," 0.0","248.9"," 13.3"," 7.9","0.197583333333333"
"421"," 0.0","303.4"," 16.3"," 9.1","0.187520833333333"
"422"," 2.2","184.6"," 15.8","13.9","0.178895833333333"
"423"," 0.1","283.6"," 17.2","14.1","0.177854166666667"
"424"," 0.0","280.8"," 20.2","14.2","0.172916666666667"
"425","0.0","304.5","22.2","14.1","0.1650625"
"426","-0.0","253.8","22.3","14.5","0.156989583333333"
"427","0.6","219.1","20.0","16.7","0.150072916666667"
"428"," 2.1","187.5"," 17.1","14.3","0.145572916666667"
"429"," 0.9","244.7"," 18.7","14.2","0.140427083333333"
"430"," 5.5","225.6"," 15.5","12.2","0.135145833333333"
"431"," 0.2","133.7"," 10.3"," 9.7","0.1305"
"432"," 0.7"," 90.2","  8.3"," 8.5","0.12715625"
"433"," 1.0"," 94.5"," 10.4","10.3","0.124395833333333"
"434"," 0.2","187.1"," 12.7"," 9.8","0.122020833333333"
"435"," 0.9","183.0"," 14.5","11.0","0.118770833333333"
"436"," 0.5","231.1"," 16.8","14.2","0.115541666666667"
"437"," 9.8","104.0"," 15.8","17.7","0.113833333333333"
