"","month","val","val.1","val.2","val.3","val.4","val.5","mu"
"14","V11",75.55,32.92,-12.3,2.53,1.1,-4.9,0.0865833333333333
"21","V12",54.1,31.98,-4.6,3.35,1.1,-8.4,0.0881411290322581
"28","V13",60.63,25.83,3.2,5.38,1.1,8.3,0.179852501737318
"35","V14",55.48,65.45,10.07,8.2,1.3,57.1,0.15846438172043
"42","V15",61.92,90.53,13.23,10.88,1.6,84.5,0.081446590118302
"49","V16",61.83,99.95,17.75,15.27,1.9,96,0.11923870532704
"56","V17",61.93,109.15,16.28,13.98,1.8,86.4,0.148817126269956
"63","V18",74.2,259.08,9.73,10.52,1.5,61,0.175548141086749
"70","V19",74.93,77.93,2.95,6.53,1.2,0.7,0.17281412037037
"77","V20",77,57.15,-3.83,4.57,1.1,-18.1,0.169309059233449
"84","V21",73.93,62.28,-11.73,2.62,1.1,-7.5,0.163561323924731
